"method","n","bias","rmse","coverage95","median_ci_width"
"surface",5000,-0.000809811277946781,0.0472071620475584,0.8706,0.142093471858691
"boot_log",4998,-0.00488178135553493,0.41481785951206,0.493797519007603,0.529141359328673
"meta_ran",4998,-0.00489757595927448,0.414869171097581,0.555222088835534,0.591557265651307
"boot_hr",4998,0.0633959377452872,0.421170932801114,0.497398959583834,0.522631629148326
"meta_fix",4998,-0.00437617757505784,0.425251637213474,0.157262905162065,0.141618239650065
