"drug","est","lo","hi","truth","method","rep","err","covered"
"drug_01",0.928332703271377,0.62505286023323,1.19831218162075,0,"boot_hr",1,0.928332703271377,FALSE
"drug_02",-0.4327099228579,-0.835085733098746,-0.146576085636842,-0.94647817125094,"boot_hr",1,0.51376824839304,FALSE
"drug_03",0.0414444861309819,-0.491175906122385,0.4463265101137,-0.949569349199075,"boot_hr",1,0.991013835330057,FALSE
"drug_04",-1.243511532304,-1.59373221604027,-0.848625293936196,-1.87807372275771,"boot_hr",1,0.634562190453714,FALSE
"drug_05",-0.492921154387174,-1.0474139929354,-0.138302761352108,-1.09838377229044,"boot_hr",1,0.605462617903265,FALSE
"drug_06",0.260089308570046,-0.018811501753485,0.5261174476147,-0.932883018759135,"boot_hr",1,1.19297232732918,FALSE
"drug_07",0.356280595414926,-0.103531616581802,0.668727016906441,-0.438858556467576,"boot_hr",1,0.795139151882502,FALSE
"drug_08",-0.373116036964228,-0.628956566050255,-0.162674484663268,-1.12463673044861,"boot_hr",1,0.751520693484385,FALSE
"drug_09",-0.0157747242551752,-0.634044349008048,0.403360992740907,-1.23844339146153,"boot_hr",1,1.22266866720635,FALSE
"drug_10",-0.755530223655402,-1.0564442806058,-0.554027763157081,-1.51294455316345,"boot_hr",1,0.757414329508045,FALSE
"drug_11",0.428158977668885,0.0386622992758997,0.744395697492289,-0.754401431953872,"boot_hr",1,1.18256040962276,FALSE
"drug_12",0.717472429808053,0.194186832715508,0.96414672499606,-0.221702265144006,"boot_hr",1,0.939174694952059,FALSE
"drug_13",-0.224022085660033,-0.897896548003259,0.257423808430442,-1.12419785767059,"boot_hr",1,0.900175772010555,FALSE
"drug_14",0.618395562180694,0.36225174953719,0.865866755741342,-0.688594799017569,"boot_hr",1,1.30699036119826,FALSE
"drug_15",0.706742163791386,0.477904957810399,0.927378584049507,-0.307752902214656,"boot_hr",1,1.01449506600604,FALSE
"drug_16",-0.0674633583088678,-0.352284417831037,0.1554050426173,-0.831353155075848,"boot_hr",1,0.76388979676698,FALSE
"drug_17",1.37327513331503,0.993932641869405,1.64763546272609,-0.1276075438473,"boot_hr",1,1.50088267716233,FALSE
"drug_18",-0.265171560715602,-0.464020322510305,-0.101143722584199,-1.2875595733924,"boot_hr",1,1.0223880126768,FALSE
"drug_19",-0.349332811831007,-0.676076221925287,-0.100764277459105,-1.41211300960295,"boot_hr",1,1.06278019777195,FALSE
"drug_20",0.521567346678067,-0.236954092019898,1.04839411115159,-0.653699899334707,"boot_hr",1,1.17526724601277,FALSE
"drug_21",0.601996238385058,0.538449010516473,0.661745372872026,-0.900287564417346,"boot_hr",1,1.5022838028024,FALSE
"drug_22",-0.015358446116098,-0.36081092675404,0.253582045580402,-0.836818582975262,"boot_hr",1,0.821460136859164,FALSE
"drug_23",0.801153989857069,0.483658404151746,1.14038569654858,-0.250279010846315,"boot_hr",1,1.05143300070338,FALSE
"drug_24",0.163665214837603,-0.293656451497726,0.476475232295503,-0.544166440622362,"boot_hr",1,0.707831655459966,FALSE
"drug_25",0.156690639332906,-0.0526789484839971,0.317565603720743,-0.659433478887136,"boot_hr",1,0.816124118220042,FALSE
"drug_01",0.869736847640709,0.559179357062591,1.15725066014543,0,"boot_log",1,0.869736847640709,FALSE
"drug_02",-0.490830909367794,-0.835085733098746,-0.146576085636842,-0.94647817125094,"boot_log",1,0.455647261883146,FALSE
"drug_03",-0.155237388670166,-0.614863722709609,0.320004510328156,-0.949569349199075,"boot_log",1,0.794331960528909,FALSE
"drug_04",-1.29834849981758,-1.59373221604027,-0.848625293936196,-1.87807372275771,"boot_log",1,0.579725222940137,FALSE
"drug_05",-0.592858377143755,-1.0474139929354,-0.138302761352108,-1.09838377229044,"boot_log",1,0.505525395146684,FALSE
"drug_06",0.170535378956349,-0.0922825803366888,0.459551386934821,-0.932883018759135,"boot_log",1,1.10341839771548,FALSE
"drug_07",0.208363412994865,-0.245877717208596,0.631007322920801,-0.438858556467576,"boot_log",1,0.647221969462441,FALSE
"drug_08",-0.427179128627592,-0.677200879793723,-0.188415757534214,-1.12463673044861,"boot_log",1,0.697457601821021,FALSE
"drug_09",-0.187309172012274,-0.672812841731848,0.325184851912807,-1.23844339146153,"boot_log",1,1.05113421944925,FALSE
"drug_10",-0.817971752449016,-1.17323167361759,-0.554477212298873,-1.51294455316345,"boot_log",1,0.69497280071443,FALSE
"drug_11",0.310276454054824,-0.0485398105970153,0.664931776194221,-0.754401431953872,"boot_log",1,1.0646778860087,FALSE
"drug_12",0.64053876445263,0.136844895063882,0.958933707983408,-0.221702265144006,"boot_log",1,0.862241029596635,FALSE
"drug_13",-0.452003015688328,-0.965680598795474,0.106241522216813,-1.12419785767059,"boot_log",1,0.67219484198226,FALSE
"drug_14",0.536208378329009,0.325139500799997,0.794329680248389,-0.688594799017569,"boot_log",1,1.22480317734658,FALSE
"drug_15",0.667374598383225,0.433892035372391,0.912489655904708,-0.307752902214656,"boot_log",1,0.975127500597881,FALSE
"drug_16",-0.152582754984751,-0.446337248330085,0.113233608025452,-0.831353155075848,"boot_log",1,0.678770400091096,FALSE
"drug_17",1.32078405229775,0.993932641869405,1.64763546272609,-0.1276075438473,"boot_log",1,1.44839159614505,FALSE
"drug_18",-0.286221765058286,-0.480877938776737,-0.112219537921832,-1.2875595733924,"boot_log",1,1.00133780833412,FALSE
"drug_19",-0.494497056466909,-0.74020846392617,-0.244491207584756,-1.41211300960295,"boot_log",1,0.917615953136044,FALSE
